ForecastID,Confirmed,Deaths
380,26427,813
381,440980,33020
382,179229,2866
383,13737,151
384,131476,4331
385,64446,882
386,28465,498
387,144319,7782
388,22751,1071
389,126681,2954
390,15905,176
391,166227,1950
392,666602,13782
393,55248,429
394,1683,58
395,128065,2708
396,78538,1979
397,11420,244
398,80588,1174
399,4114,37
400,138422,2350
401,5841,39
402,206623,5393
403,66532,914
404,758830,14083
405,59871,2027
406,53345,4485
407,18310,619
408,652609,12176
409,288327,6167
410,10406,101
411,34436,416
412,253353,8465
413,101586,3398
414,74874,1209
415,47299,482
416,54190,992
417,154714,5202
418,4756,132
419,113408,3850
420,131795,9193
421,119175,6866
422,82958,1911
423,87950,2672
424,97591,1647
425,8567,117
426,36894,424
427,72980,1446
428,7485,443
429,194951,16108
430,26592,818
431,441542,33016
432,180913,2887
433,14019,152
434,132604,4356
435,65173,894
436,28671,501
437,145079,7790
438,22888,1075
439,127743,2993
440,16228,178
441,167533,1978
442,671193,13909
443,55690,432
444,1689,58
445,128972,2728
446,79114,1990
447,11552,245
448,81469,1183
449,4150,37
450,139837,2371
451,5906,39
452,207272,5434
453,67109,927
454,763923,14204
455,60194,2039
456,53395,4488
457,18407,621
458,656387,12263
459,290551,6233
460,10659,105
461,34689,422
462,255365,8492
463,102440,3409
464,75798,1218
465,47860,486
466,54815,998
467,155526,5231
468,4790,133
469,114050,3864
470,132113,9207
471,119825,6873
472,83852,1917
473,88554,2684
474,99046,1657
475,8717,118
476,37148,426
477,73510,1462
478,7512,444
479,195245,16131
480,26752,822
481,442145,33031
482,182697,2905
483,14334,153
484,133687,4414
485,65924,902
486,28888,505
487,145865,7811
488,22938,1079
489,128835,3033
490,16526,180
491,168987,2002
492,675758,14005
493,56138,434
494,1697,58
495,129911,2748
496,79675,1998
497,11688,247
498,82234,1192
499,4183,37
500,141185,2395
501,5948,40
502,207931,5463
503,67699,941
504,768917,14290
505,60502,2053
506,53401,4489
507,18523,623
508,659463,12357
509,292480,6312
510,10874,109
511,34965,426
512,257198,8513
513,103250,3419
514,76440,1224
515,48356,488
516,55389,1003
517,156081,5254
518,4825,134
519,114675,3878
520,132456,9222
521,120489,6891
522,84710,1925
523,89195,2691
524,100420,1671
525,8855,120
526,37401,427
527,74055,1470
528,7538,445
529,195600,16156
530,26900,826
531,442805,33031
532,184415,2924
533,14633,154
534,134658,4453
535,66751,911
536,29108,511
537,146584,7831
538,22984,1083
539,129851,3059
540,16882,182
541,170403,2023
542,679990,14128
543,56551,435
544,1704,58
545,130788,2764
546,80159,2007
547,11832,253
548,82905,1198
549,4212,37
550,142791,2414
551,5989,40
552,208480,5477
553,68116,953
554,773923,14352
555,60771,2060
556,53445,4490
557,18632,624
558,662048,12403
559,294118,6354
560,11069,112
561,35228,429
562,258921,8534
563,104029,3429
564,76731,1229
565,48570,489
566,55943,1007
567,157101,5280
568,4852,134
569,115293,3893
570,132843,9238
571,121146,6902
572,85447,1932
573,89688,2705
574,101636,1680
575,8962,121
576,37680,429
577,74524,1473
578,7566,446
579,195940,16182
580,27041,831
581,443463,33046
582,185837,2934
583,14871,155
584,135532,4454
585,67445,915
586,29331,516
587,147290,7840
588,23111,1087
589,130797,3077
590,17067,183
591,171702,2042
592,683958,14238
593,56910,436
594,1712,58
595,131699,2778
596,80557,2017
597,11969,256
598,83349,1202
599,4244,37
600,144155,2431
601,6041,40
602,208993,5493
603,68588,964
604,778906,14429
605,61044,2066
606,53463,4492
607,18745,626
608,664533,12489
609,295697,6392
610,11242,115
611,35474,433
612,260416,8560
613,104815,3441
614,77238,1236
615,49254,490
616,56518,1012
617,157618,5306
618,4875,135
619,115883,3907
620,133252,9253
621,121821,6913
622,86066,1939
623,90214,2731
624,102736,1692
625,9052,122
626,37954,432
627,74888,1479
628,7593,447
629,196286,16208
630,27172,836
631,444287,33055
632,187087,2943
633,15053,156
634,136390,4466
635,68092,916
636,29547,519
637,147968,7853
638,23279,1092
639,131626,3090
640,17252,183
641,173169,2063
642,687870,14342
643,57234,438
644,1719,58
645,132587,2791
646,80937,2024
647,12101,257
648,83701,1208
649,4279,37
650,145594,2447
651,6097,41
652,209539,5529
653,69099,977
654,783934,14540
655,61322,2079
656,53475,4495
657,18865,628
658,667589,12621
659,297481,6463
660,11402,118
661,35729,439
662,261984,8594
663,105482,3453
664,78319,1246
665,49438,493
666,57134,1019
667,158537,5334
668,4898,136
669,116485,3923
670,133645,9267
671,122488,6924
672,86654,1948
673,90848,2760
674,103736,1703
675,9142,124
676,38206,436
677,75207,1494
678,7622,449
679,196645,16236
680,27314,840
681,445176,33073
682,188266,2967
683,15216,157
684,137322,4495
685,68611,926
686,29763,524
687,148605,7876
688,23409,1097
689,132435,3111
690,17458,183
691,174515,2088
692,691956,14447
693,57575,442
694,1725,58
695,133466,2807
696,81379,2036
697,12225,261
698,84188,1214
699,4310,37
700,146689,2461
701,6157,41
702,210149,5584
703,69697,989
704,789023,14684
705,61645,2093
706,53509,4500
707,18977,630
708,671252,12761
709,299575,6523
710,11601,122
711,35989,446
712,263662,8633
713,106258,3465
714,79543,1258
715,50219,497
716,57779,1027
717,159237,5363
718,4920,137
719,117100,3938
720,134000,9282
721,123158,6942
722,87315,1955
723,91378,2784
724,104824,1712
725,9257,126
726,38465,440
727,75556,1516
728,7651,451
729,196938,16264
730,27474,845
731,446018,33069
732,189628,2997
733,15416,158
734,138352,4508
735,69203,942
736,29979,530
737,149295,7890
738,23540,1102
739,133362,3141
740,17634,184
741,175828,2116
742,696337,14539
743,57963,446
744,1731,58
745,134367,2825
746,81904,2043
747,12342,266
748,84825,1222
749,4339,37
750,147873,2478
751,6222,41
752,210870,5637
753,70375,1000
754,794104,14830
755,61983,2103
756,53507,4505
757,19105,631
758,675273,12876
759,301848,6557
760,11835,125
761,36234,453
762,265513,8670
763,106944,3477
764,80620,1269
765,50568,502
766,58416,1035
767,159987,5390
768,4946,138
769,117742,3954
770,134329,9298
771,123813,6951
772,88092,1964
773,91859,2803
774,106033,1725
775,9395,127
776,38737,443
777,76006,1538
778,7682,453
779,197260,16294
780,27639,850
781,446902,33081
782,191243,3018
783,15678,159
784,139423,4527
785,69813,953
786,30189,534
787,150049,7902
788,23655,1107
789,134378,3180
790,17953,186
791,177281,2143
792,700852,14639
793,58396,449
794,1737,58
795,135240,2846
796,82469,2055
797,12462,267
798,85653,1232
799,4373,37
800,148836,2497
801,6278,41
802,211594,5678
803,70946,1012
804,799172,14952
805,62328,2116
806,53528,4508
807,19218,633
808,678976,12960
809,304034,6616
810,12064,128
811,36478,459
812,267441,8702
813,107762,3489
814,81471,1277
815,51098,506
816,59016,1042
817,160806,5418
818,4980,139
819,118398,3970
820,134668,9313
821,124468,6963
822,88935,1973
823,92478,2814
824,107298,1734
825,9544,128
826,38997,445
827,76538,1554
828,7712,455
829,197620,16324
830,27808,854
831,447681,33082
832,192974,3036
833,15981,160
834,140445,4576
835,70567,961
836,30401,538
837,150794,7921
838,23707,1111
839,135437,3216
840,18231,189
841,178564,2167
842,705337,14732
843,58837,451
844,1744,58
845,136127,2865
846,83004,2063
847,12580,269
848,86433,1240
849,4406,37
850,150049,2517
851,6318,42
852,212305,5706
853,71509,1025
854,804192,15036
855,62646,2130
856,53539,4510
857,19351,635
858,682120,13041
859,305938,6691
860,12284,131
861,36735,463
862,269226,8728
863,108505,3500
864,81882,1283
865,51568,508
866,59581,1047
867,161455,5444
868,5014,140
869,119048,3985
870,135043,9328
871,125116,6976
872,89743,1981
873,93081,2822
874,108586,1745
875,9678,130
876,39243,447
877,77080,1561
878,7744,456
879,197970,16356
880,27969,859
881,448321,33094
882,194645,3054
883,16274,161
884,141366,4613
885,71287,970
886,30615,544
887,151527,7940
888,23779,1116
889,136469,3244
890,18471,190
891,179904,2187
892,709580,14829
893,59242,452
894,1752,58
895,137005,2882
896,83463,2073
897,12704,274
898,87058,1246
899,4435,37
900,151173,2535
901,6361,42
902,212933,5721
903,71900,1036
904,809163,15102
905,62941,2138
906,53536,4512
907,19467,637
908,684761,13094
909,307581,6732
910,12480,134
911,36991,466
912,270866,8754
913,109272,3512
914,82110,1288
915,51773,509
916,60138,1051
917,162392,5471
918,5042,141
919,119692,4001
920,135448,9344
921,125771,6991
922,90437,1990
923,93567,2838
924,109745,1757
925,9788,131
926,39500,449
927,77555,1564
928,7776,457
929,198315,16389
930,28115,864
931,448971,33098
932,196084,3064
933,16516,162
934,142211,4621
935,72013,974
936,30831,549
937,152248,7950
938,23915,1121
939,137372,3260
940,18707,191
941,181316,2207
942,713653,14929
943,59595,453
944,1759,58
945,137872,2896
946,83859,2084
947,12829,277
948,87507,1251
949,4465,37
950,152585,2552
951,6416,42
952,213529,5740
953,72383,1047
954,814136,15178
955,63229,2144
956,53553,4514
957,19602,639
958,687496,13184
959,309181,6769
960,12639,137
961,37238,470
962,272322,8785
963,109992,3524
964,82717,1295
965,52414,510
966,60716,1056
967,163003,5498
968,5067,142
969,120319,4017
970,135852,9359
971,126425,6999
972,91023,1999
973,94135,2861
974,110780,1765
975,9876,132
976,39765,452
977,77932,1570
978,7810,459
979,198646,16423
980,28262,869
981,449560,33121
982,197326,3074
983,16703,163
984,143056,4641
985,72584,975
986,31046,552
987,152927,7966
988,24073,1127
989,138184,3274
990,18819,191
991,182555,2229
992,717657,15025
993,59918,455
994,1766,58
995,138750,2910
996,84257,2092
997,12950,278
998,87853,1256
999,4499,37
1000,153850,2568
1001,6472,43
1002,214143,5777
1003,72852,1059
1004,819130,15288
1005,63533,2157
1006,53545,4518
1007,19723,641
1008,690709,13308
1009,310982,6837
1010,12803,140
1011,37489,476
1012,273820,8822
1013,110657,3537
1014,83697,1305
1015,52601,513
1016,61321,1063
1017,163914,5526
1018,5091,143
1019,120957,4033
1020,136226,9373
1021,127084,7013
1022,91584,2008
1023,94767,2886
1024,111770,1778
1025,9965,134
1026,40018,456
1027,78262,1584
1028,7844,461
1029,198963,16458
1030,28413,874
1031,450161,33124
1032,198517,3098
1033,16870,164
1034,143973,4673
1035,73141,984
1036,31260,557
1037,153598,7985
1038,24219,1133
1039,139008,3293
1040,18992,191
1041,183922,2254
1042,721818,15128
1043,60256,459
1044,1772,58
1045,139613,2926
1046,84716,2104
1047,13070,282
1048,88336,1262
1049,4530,37
1050,155274,2583
1051,6525,43
1052,214824,5829
1053,73473,1071
1054,824160,15426
1055,63869,2171
1056,53547,4523
1057,19858,643
1058,694546,13442
1059,313072,6895
1060,12998,143
1061,37745,483
1062,275448,8863
1063,111380,3550
1064,84773,1316
1065,53340,517
1066,61939,1071
1067,164622,5554
1068,5113,144
1069,121599,4050
1070,136570,9388
1071,127738,7027
1072,92216,2018
1073,95277,2909
1074,112752,1787
1075,10072,136
1076,40264,460
1077,78622,1605
1078,7879,463
1079,199300,16494
1080,28572,879
1081,450912,33133
1082,199858,3128
1083,17066,165
1084,144972,4685
1085,73637,999
1086,31474,563
1087,154312,8000
1088,24357,1139
1089,139903,3322
1090,19196,192
1091,185273,2281
1092,726154,15221
1093,60641,463
1094,1778,58
1095,140481,2945
1096,85244,2111
1097,13182,287
1098,88979,1270
1099,4558,37
1100,156421,2599
1101,6580,43
1102,215586,5881
1103,74093,1082
1104,829217,15570
1105,64221,2181
1106,53549,4528
1107,19985,645
1108,698550,13554
1109,315317,6927
1110,13208,146
1111,37994,489
1112,277246,8903
1113,112046,3562
1114,85796,1327
1115,53676,522
1116,62544,1079
1117,165421,5582
1118,5140,145
1119,122263,4066
1120,136911,9404
1121,128390,7040
1122,92956,2027
1123,95787,2927
1124,113843,1797
1125,10205,137
1126,40519,463
1127,79073,1627
1128,7914,465
1129,199666,16531
1130,28745,884
1131,451698,33133
1132,201417,3149
1133,17315,166
1134,145996,4701
1135,74257,1010
1136,31685,567
1137,155050,8013
1138,24458,1144
1139,140905,3357
1140,19406,193
1141,186495,2307
1142,730624,15323
1143,61068,466
1144,1784,58
1145,141347,2965
1146,85795,2123
1147,13293,288
1148,89772,1279
1149,4590,37
1150,157649,2616
1151,6631,43
1152,216369,5922
1153,74679,1093
1154,834260,15688
1155,64575,2193
1156,53535,4533
1157,20119,647
1158,702276,13635
1159,317468,6981
1160,13431,149
1161,38239,494
1162,279116,8938
1163,112824,3574
1164,86475,1335
1165,54180,526
1166,63123,1086
1167,166234,5610
1168,5173,146
1169,122930,4083
1170,137277,9419
1171,129035,7049
1172,93757,2037
1173,96417,2938
1174,115007,1809
1175,10348,138
1176,40776,465
1177,79603,1642
1178,7951,467
1179,200018,16568
1180,28916,889
1181,452545,33146
1182,203101,3167
1183,17604,167
1184,146969,4745
1185,74900,1018
1186,31896,571
1187,155789,8032
1188,24519,1149
1189,141963,3392
1190,19698,195
1191,187877,2330
1192,735038,15415
1193,61502,468
1194,1791,58
1195,142205,2985
1196,86306,2132
1197,13403,289
1198,90552,1288
1199,4624,37
1200,158611,2634
1201,6672,44
1202,217133,5949
1203,75194,1105
1204,839271,15773
1205,64902,2208
1206,53537,4536
1207,20252,649
1208,705402,13708
1209,319352,7051
1210,13651,152
1211,38489,498
1212,280865,8969
1213,113525,3587
1214,86734,1341
1215,54623,529
1216,63682,1091
1217,166949,5637
1218,5206,147
1219,123600,4100
1220,137675,9434
1221,129681,7065
1222,94523,2047
1223,96985,2948
1224,116162,1817
1225,10482,140
1226,41023,467
1227,80144,1649
1228,7988,469
1229,200352,16606
1230,29080,894
1231,453469,33145
1232,204734,3185
1233,17891,168
1234,147853,4779
1235,75637,1026
1236,32107,577
1237,156530,8049
1238,24609,1154
1239,142959,3418
1240,19901,197
1241,189159,2351
1242,739313,15514
1243,61901,469
1244,1799,58
1245,143068,3002
1246,86748,2142
1247,13512,294
1248,91146,1295
1249,4653,37
1250,159737,2652
1251,6716,44
1252,217833,5966
1253,75591,1116
1254,844246,15839
1255,65211,2217
1256,53523,4539
1257,20385,651
1258,708196,13766
1259,320999,7092
1260,13834,155
1261,38739,501
1262,282451,8999
1263,114275,3600
1264,87018,1346
1265,54822,530
1266,64240,1095
1267,167845,5664
1268,5235,148
1269,124261,4117
1270,138084,9450
1271,130326,7077
1272,95183,2056
1273,97475,2964
1274,117277,1829
1275,10590,142
1276,41268,469
1277,80623,1652
1278,8026,471
1279,200682,16645
1280,29240,899
1281,454293,33164
1282,206169,3196
1283,18135,169
1284,148679,4790
1285,76279,1031
1286,32319,582
1287,157251,8062
1288,24748,1160
1289,143850,3436
1290,20071,198
1291,190389,2371
1292,743437,15606
1293,62250,470
1294,1806,58
1295,143923,3017
1296,87147,2153
1297,13625,297
1298,91588,1300
1299,4682,37
